route or line (Rapid Transit Master.csv),servicedate (Rapid Transit Master.csv),stationname (Rapid Transit Master.csv),validations (Rapid Transit Master.csv)
Blue Line,1/1/2019,Airport,3774
Blue Line,1/1/2019,Aquarium,2180
Blue Line,1/1/2019,Beachmont,1009
Blue Line,1/1/2019,Bowdoin,283
Blue Line,1/1/2019,Government Center,1886
Blue Line,1/1/2019,Maverick,4032
Blue Line,1/1/2019,Orient Heights,1361
Blue Line,1/1/2019,Revere Beach,1214
Blue Line,1/1/2019,State Street,251
Blue Line,1/1/2019,Suffolk Downs,197
Blue Line,1/1/2019,Wonderland,2181
Blue Line,1/1/2019,Wood Island,761
Green Line,1/1/2019,Arlington,1232
Green Line,1/1/2019,Boylston,2365
Green Line,1/1/2019,Copley,4730
Green Line,1/1/2019,Government Center,210
Green Line,1/1/2019,Haymarket,1840
Green Line,1/1/2019,Hynes Convention Center,2506
Green Line,1/1/2019,Kenmore,1906
Green Line,1/1/2019,Lechmere,1867
Green Line,1/1/2019,North Station,862
Green Line,1/1/2019,Park Street,2118
Green Line,1/1/2019,Prudential,1740
Green Line,1/1/2019,Riverside,430
Green Line,1/1/2019,Science Park,412
Green Line,1/1/2019,Symphony,510
Orange Line,1/1/2019,Assembly,1345
Orange Line,1/1/2019,Back Bay,3776
Orange Line,1/1/2019,Chinatown,2667
Orange Line,1/1/2019,Community College,751
Orange Line,1/1/2019,Downtown Crossing,3505
Orange Line,1/1/2019,Forest Hills,3240
Orange Line,1/1/2019,Green Street,654
Orange Line,1/1/2019,Haymarket,1915
Orange Line,1/1/2019,Jackson Square,1552
Orange Line,1/1/2019,Malden Center,3390
Orange Line,1/1/2019,Massachusetts Ave.,1522
Orange Line,1/1/2019,North Station,1673
Orange Line,1/1/2019,Oak Grove,1348
Orange Line,1/1/2019,Roxbury Crossing,944
Orange Line,1/1/2019,Ruggles,1745
Orange Line,1/1/2019,State Street,2259
Orange Line,1/1/2019,Stony Brook,785
Orange Line,1/1/2019,Sullivan Square,1949
Orange Line,1/1/2019,Tufts Medical Center,1440
Orange Line,1/1/2019,Wellington,1428
Red Line,1/1/2019,Alewife,2312
Red Line,1/1/2019,Andrew,1772
Red Line,1/1/2019,Ashmont,2346
Red Line,1/1/2019,Braintree,979
Red Line,1/1/2019,Broadway,1492
Red Line,1/1/2019,Central,4237
Red Line,1/1/2019,Charles MGH,1938
Red Line,1/1/2019,Davis,2566
Red Line,1/1/2019,Downtown Crossing,3368
Red Line,1/1/2019,Fields Corner,1694
Red Line,1/1/2019,Harvard,5187
Red Line,1/1/2019,JFK/Umass,1553
Red Line,1/1/2019,Kendall/MIT,2341
Red Line,1/1/2019,North Quincy,2178
Red Line,1/1/2019,Park Street,2926
Red Line,1/1/2019,Porter,1799
Red Line,1/1/2019,Quincy Adams,831
Red Line,1/1/2019,Quincy Center,1809
Red Line,1/1/2019,Savin Hill,562
Red Line,1/1/2019,Shawmut,386
Red Line,1/1/2019,South Station,4343
Silver Line,1/1/2019,Courthouse,569
Silver Line,1/1/2019,South Station,1861
Silver Line,1/1/2019,World Trade Center,236
Blue Line,1/2/2019,Airport,6404
Blue Line,1/2/2019,Aquarium,4035
Blue Line,1/2/2019,Beachmont,2799
Blue Line,1/2/2019,Bowdoin,1982
Blue Line,1/2/2019,Government Center,5648
Blue Line,1/2/2019,Maverick,9532
Blue Line,1/2/2019,Orient Heights,3649
Blue Line,1/2/2019,Revere Beach,2778
Blue Line,1/2/2019,State Street,1126
Blue Line,1/2/2019,Suffolk Downs,395
Blue Line,1/2/2019,Wonderland,6200
Blue Line,1/2/2019,Wood Island,1665
Green Line,1/2/2019,Arlington,5904
Green Line,1/2/2019,Boylston,3931
Green Line,1/2/2019,Copley,10708
Green Line,1/2/2019,Government Center,628
Green Line,1/2/2019,Haymarket,4279
Green Line,1/2/2019,Hynes Convention Center,4984
Green Line,1/2/2019,Kenmore,4653
Green Line,1/2/2019,Lechmere,4883
Green Line,1/2/2019,North Station,5505
Green Line,1/2/2019,Park Street,5603
Green Line,1/2/2019,Prudential,2870
Green Line,1/2/2019,Riverside,1331
Green Line,1/2/2019,Science Park,655
Green Line,1/2/2019,Symphony,1090
Orange Line,1/2/2019,Assembly,3654
Orange Line,1/2/2019,Back Bay,14538
Orange Line,1/2/2019,Chinatown,4957
Orange Line,1/2/2019,Community College,2318
Orange Line,1/2/2019,Downtown Crossing,10457
Orange Line,1/2/2019,Forest Hills,10196
Orange Line,1/2/2019,Green Street,2549
Orange Line,1/2/2019,Haymarket,4453
Orange Line,1/2/2019,Jackson Square,4084
Orange Line,1/2/2019,Malden Center,10054
Orange Line,1/2/2019,Massachusetts Ave.,4325
Orange Line,1/2/2019,North Station,10687
Orange Line,1/2/2019,Oak Grove,6268
Orange Line,1/2/2019,Roxbury Crossing,2963
Orange Line,1/2/2019,Ruggles,6293
Orange Line,1/2/2019,State Street,10135
Orange Line,1/2/2019,Stony Brook,2958
Orange Line,1/2/2019,Sullivan Square,6939
Orange Line,1/2/2019,Tufts Medical Center,4583
Orange Line,1/2/2019,Wellington,6155
Red Line,1/2/2019,Alewife,10065
Red Line,1/2/2019,Andrew,4932
Red Line,1/2/2019,Ashmont,7066
Red Line,1/2/2019,Braintree,4266
Red Line,1/2/2019,Broadway,5459
Red Line,1/2/2019,Central,13189
Red Line,1/2/2019,Charles MGH,9489
Red Line,1/2/2019,Davis,9601
Red Line,1/2/2019,Downtown Crossing,10046
Red Line,1/2/2019,Fields Corner,3859
Red Line,1/2/2019,Harvard,14575
